@relation 'Ant13-Arrondi3-weka.filters.unsupervised.attribute.Remove-R1-6,8-19,30-31-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last'

@attribute #Critique {0,1,2}
@attribute 'd(LOC,FANIN)' {0.181,35.001,48.006,98.001,103.001,114.003,118,120.001,121.002,125,125.002,126.001,127,127.003,128,129,130.001,131,131.002,132,132.001,133,133.001,133.002,134,134.001,134.003,135,135.001,135.002,136,136.001,136.002,136.003,137,138,138.001}
@attribute 'd(Qi,FANIN)' {2.171,35.8,48.794,98.507,103,114.465,118.602,120.562,121.672,125.642,125.652,126.636,127.609,127.627,128.585,128.625,129.483,129.599,130.606,130.616,131.58,131.599,132.185,132.23,132.538,132.611,132.612,133.53,133.569,133.589,133.595,133.605,133.613,134.415,134.558,134.567,134.577,134.58,134.581,134.596,134.603,134.605,135.191,135.528,135.556,135.563,135.576,135.577,135.58,135.585,135.587,135.593,135.594,135.595,135.599,135.6,135.601,135.602,135.603,135.604,136.31,136.45,136.531,136.554,136.56,136.589,136.59,136.592,136.596,136.597,136.598,136.599,136.6,137.512,137.562,137.565,137.572,137.586,137.59,137.593,137.594,137.595,138.582,138.584,138.587,138.588,138.589,138.59,138.591}
@attribute 'd(WMC,FANIN)' {4,43.012,48,124.016,130.419,139.846,142.804,143.122,147.872,153.379,153.652,154.674,154.777,155.322,155.554,156.4,156.605,157.051,157.305,157.953,158.003,158.092,158.382,159.477,159.615,160.206,160.605,160.863,160.897,161.236,161.821,161.978,162.29,162.542,162.631,162.807,162.828,163.11,163.218,163.444,163.637,163.683,163.933,164.195,164.259,164.615,164.839,165.076,165.324,165.424,165.584,165.653,165.895,166.012,166.235,166.469,166.82,166.973,167.048,167.287,167.41,167.538,167.631,167.863,168.003,168.107,168.217,168.443,168.6,168.68,168.808,169.027,169.201,169.257,169.402,169.614,169.838,170,170.801,171.012,171.604,172.2}
@attribute 'd( WMC,CBO)' {0,87.664,120.283,129.418,130.43,134.034,135.724,138.105,138.842,140,140.801,141.534,143.405,146.185,149.305,150.712,151.4,152.122,152.201,154.013,155.081,155.322,157.436,158.051,158.521,160.655,161.245,162.41,162.929,163.003,164.906,166.148,166.715,167.8,169.284,170.018,170.32,170.581,171.54,172.514,174.591,175.011,175.114,175.445,175.573,176.963,178.933,179.047,179.388,179.446,179.471,179.778,180.014,180.624,180.945,181.157,181.472,181.665,182.003,182.222,182.989,183.076,183.521,185.076,186.432,186.59,186.938,187.963,188.162,189.003,189.855,190.032,190.276,191.638,191.76,191.909,192.421,192.938,193,193.28,193.871,194.363,194.538,194.743,195,195.359,195.617,196.105,196.37,196.54,196.596,197.231,197.246,198.093,198.6,198.957,199.324,199.97,201.556,202.319,202.556,203.059,203.295,203.494,203.593,204.287,205.529,205.73,206.306,206.4,206.708,206.891,207.273,207.386,207.663,208.943,209.507,212.132,212.615}
@attribute 'd(Qi,CBO)' {8.764,33.495,82.858,90.862,103.736,104.739,105.745,106.469,109.619,109.73,112.676,113.696,114.702,116.67,117.675,121.618,121.663,122.634,122.654,123.452,123.497,130.616,130.617,131.197,131.611,131.615,135.393,137.589,137.592,139.539,139.547,140,140.579,141.577,143.571,144.562,144.565,145.556,145.557,146.516,146.55,149.539,149.542,149.546,150.543,151.473,151.503,151.519,151.525,151.531,152.533,153.527,153.529,153.532,153.533,154.502,154.525,154.527,154.53,157.512,157.519,158.015,160.49,161.388,161.485,161.492,161.505,162.5,163.174,163.501,164.495,165.47,165.492,165.493,166.483,166.491,167.489,168.417,168.486,169.465,169.481,169.482,169.483,170.479,171.143,171.177,171.423,171.452,171.455,171.471,172.245,172.474,173.47,173.472,174.409,175.406,175.458,175.465,176.45,177.425,177.43,177.46,177.461,179.454,179.456,180.446,180.448,180.453,181.447,181.449,181.451,182.449,183.446,184.444,186.439}
@attribute 'd(LOC, CBO)' {0.751,31.01,82.002,90.001,103.001,104,105.002,106.001,109.001,109.003,112.001,113.001,114.003,116,117.001,121,121.004,122,122.001,123,123.004,130.001,130.002,131,131.001,131.002,135.002,137,137.001,139,139.002,140,140.001,141,143.001,144,145,146,146.002,149,149.001,150.001,151,151.001,152.001,153,153.001,154,157,158,160,161,162,163,163.001,164,165,166,166.001,167.001,168,168.001,169,169.001,170,171,172,173,174,175,176,177,179,180,181,182,183,184,186}
@attribute 'd(LOC, Ce)' {0.751,689,786,940,1013,1159,1371,1446,1450,1480,1500,1518,1535,1550,1551,1561,1567,1576,1589,1603,1610,1614,1627,1643,1666,1691,1732,1745,1753,1754,1756,1787,1789,1798,1799,1811,1818,1833,1839,1840,1868,1883,1886,1893,1908,1916,1919,1920,1922,1928,1932,1936,1951,1957,1978,1989,1995,2004,2008,2017,2024,2025,2029,2030,2036,2040,2041,2046,2049,2056,2057,2061,2068,2073,2079,2083,2086,2093,2095,2096,2097,2100,2101,2102,2106,2109,2111,2112,2117,2118,2124,2125,2128,2134,2135,2138,2146,2148,2150,2154,2164,2169,2173,2177,2179,2180,2186,2188,2189,2190,2191,2193}
@attribute 'd(LOC, Ca)' {0.781,1.03,4.081,5.014,5.058,8.018,8.02,8.025,8.026,9.003,9.006,9.007,9.02,10.003,10.007,11.008,11.011,12.003,12.004,12.007,13,13.003,13.004,13.005,13.006,13.008,13.009,13.011,13.013,13.015,13.02,13.021,14,14.001,14.003,14.004,14.006,14.009,14.012,14.015,14.02,15,15.001,15.005,15.008,15.015,16,16.001,16.002,16.009,17,17.001,18,18.001,18.004,19,19.001,19.002,19.011,19.013,19.016,19.023,19.024,20,20.001,21,21.002}
@attribute 'd(WMC, Ce)' {0,693.862,790.163,944.889,1016.815,1162.725,1373.274,1449.25,1452.548,1482.982,1501.924,1520.491,1537.755,1553.032,1553.667,1563.888,1569.938,1579.233,1592.144,1605.872,1612.57,1616.793,1628.869,1645.146,1668.999,1693.085,1734.495,1746.833,1755.518,1756.107,1758.845,1789.02,1791.628,1800.201,1801.613,1813.438,1820.276,1835.618,1841.695,1841.827,1870.517,1885.198,1888.544,1895.433,1910.217,1918.304,1921.709,1921.881,1922.399,1924.6,1930.439,1934.334,1938.329,1953.312,1959.502,1980.476,1991.22,1997.166,2006.111,2010.294,2019.379,2026.323,2027.134,2027.181,2030.78,2031.317,2032.269,2038.215,2038.406,2040.004,2042.401,2043.448,2048.251,2048.442,2051.39,2058.43,2059.381,2063.188,2068.151,2070.181,2075.13,2081.169,2085.075,2088.348,2095.436,2097.153,2098.152,2098.197,2099.479,2102.148,2103.147,2104.283,2108.279,2111.369,2113.227,2114.462,2119.176,2120.175,2124.636,2127.352,2127.447,2130.302,2135.939,2136.342,2137.435,2139.769,2148.236,2150.468,2152.324,2156.414,2166.356,2171.258,2171.397,2175.346,2179.342,2181.027,2182.247,2188.151,2189.976,2191.193,2191.283,2191.767,2192.374,2193.236,2195.418}
@attribute 'd(WMC, Ca)' {14,20.396,29.682,56.08,77.104,78.16,79.006,80.062,82,83.199,84.38,85.159,85.376,86.093,86.313,86.371,86.493,87.144,88.363,89.051,89.454,90.471,91.444,91.548,92.542,92.779,92.914,93.172,93.648,93.904,94.048,94.202,94.763,94.895,95.341,95.708,95.885,95.901,96.026,96.509,96.69,96.881,97.015,97.082,97.165,97.494,97.673,98.153,98.311,98.843,99.04,99.298,99.825,100.02,100.449,100.807,101,101.203,101.607,101.789,101.98,102.772,102.961,103.16,103.942,104.139,105.119}

@data
0,132,132.612,160.897,175.114,149.542,149,1908,13.004,1910.217,92.914
1,98.001,98.507,124.016,130.43,106.469,106.001,1500,13.006,1501.924,77.104
0,135.001,135.191,163.933,160.655,131.197,131.001,1732,15.008,1734.495,94.202
0,132,132.538,158.092,194.538,174.409,174,2138,19,2139.769,89.051
0,126.001,126.636,156.605,190.276,166.483,166.001,2083,14.012,2085.075,94.048
0,118,118.602,154.674,201.556,175.406,175,2125,20,2127.352,101.98
0,135.001,135.599,163.933,179.047,153.529,153.001,1995,13.015,1997.166,93.904
0,135,135.563,169.201,182.222,151.503,151,1839,21.002,1841.827,104.139
0,137,137.595,162.828,203.059,183.446,183,2190,21,2191.767,90.471
0,138,138.588,171.012,205.529,179.454,179,2173,20,2175.346,102.961
1,135,135.576,168.003,198.093,171.455,171,2056,20,2058.43,101.98
0,138,138.588,171.012,207.273,181.449,181,2177,20,2179.342,102.961
0,135,135.599,167.41,206.306,181.447,181,2169,20,2171.258,101
0,137,137.593,167.287,194.363,169.481,169,2118,14,2120.175,97.015
0,137,137.593,169.027,199.324,173.47,173,2128,17,2130.302,100.449
0,137,137.595,168.443,206.708,182.449,182,2189,20,2191.193,100.02
0,136,136.598,168.808,203.295,177.46,177,2150,19,2152.324,101.789
1,137,137.594,169.027,193.28,166.491,166,2049,17,2051.39,100.449
0,129,129.483,159.615,186.432,161.388,161,1916,19.002,1918.304,95.901
1,138,138.587,166.973,166.148,137.592,137,1811,12.003,1813.438,94.763
0,136.003,136.45,168.808,158.521,123.497,123.004,1666,19.024,1668.999,101.789
0,136,136.56,170,204.287,177.43,177,2112,21,2114.462,104.139
0,137,137.512,170.801,196.54,168.417,168,2097,21,2099.479,104.139
0,135,135.528,168.6,181.665,151.473,151,1576,21.002,1579.233,103.16
0,138,138.591,171.604,212.132,186.439,186,2169,21,2171.397,104.139
0,134.003,134.558,165.424,155.081,121.618,121.004,1446,19.023,1449.25,98.843
0,136.002,136.554,168.808,176.963,146.516,146.002,1589,19.013,1592.144,101.789
0,136.002,136.598,168.808,179.446,149.546,149.001,1756,19.011,1758.845,101.789
0,136,136.31,170,199.97,172.245,172,1919,21.002,1921.709,104.139
